名称,住所,営業日,電話番号
"赤から 渋谷宮益坂店","〒150-0002 東京都渋谷区渋谷1-14-8 宮益エスケービルB1","月～金 ディナー：16:00～23:30
土・日・祝 15:00～23:30",050-3462-5669
"やきとりセンター 渋谷センター街店","〒150-0042 東京都渋谷区宇田川町34-5 サイトービルIII B1"," 17:00～22:00(L.O.21:00、ドリンクL.O.21:30)(【臨時休業のお知らせ】  新型コロナウィルス感染拡大防止に協力するため、2020年9月1日より当面の間休業とさせて頂きます。)",050-3476-8278
渋谷ベルゴ,"〒150-0002 東京都渋谷区渋谷3-18-7 渋谷東1号館ビルB1","月～金 17:00～24:00(L.O.23:00、ドリンクL.O.23:30)
土・日・祝 16:00～24:00(L.O.23:00、ドリンクL.O.23:30)",050-3467-3740
"博多 もつ楽 渋谷店","〒150-0042 東京都渋谷区宇田川町26-3 サンルイビルB1","月～土・祝前日 17:00～24:00(L.O.23:00、ドリンクL.O.23:30)
日・祝日 16:00～23:00(L.O.22:00、ドリンクL.O.22:30)",050-3466-5300
"渋谷 個室居酒屋 黄金屋","〒150-0043 東京都渋谷区道玄坂1-3-11 一番ビルB1"," ディナー：16:00～23:00(L.O.22:00)",050-3490-6979
"ぶっちぎり酒場 渋谷スペイン坂店","〒150-0042 東京都渋谷区宇田川町13-7 小安ビル6F"," 16:00～翌2:00",050-3476-2555
"真巴石‐シンバセイ‐ 薬膳火鍋 しゃぶしゃぶ 渋谷店","〒150-0042 東京都渋谷区宇田川町33-12 5F","月～日・祝前日・祝日 12:00～23:30(L.O.23:00、ドリンクL.O.23:00)(※東京都の要請により、8月いっぱいは22時までの営業となります。)",050-3464-4368
biodinamico（ビオディナミコ）,"〒150-0041 東京都渋谷区神南1-19-14 クリスタルポイントビル3F"," ランチ：11:30～14:30(L.O.14:00)、ディナー：17:30～22:30(L.O.21:30)",050-3466-5448
"肉＆チーズダイニング ニッチーズ ‐Niccheese‐渋谷店","〒150-0043 東京都渋谷区道玄坂1-5-9 ザ・レンガビル3F","月～金 ディナー：17:00～23:00
土・日・祝 ランチ：12:00～15:00、ディナー：17:00～23:30",050-3469-3621
"少人数貸切パーティ Cheers Tokyo","〒150-0043 東京都渋谷区道玄坂2-7-4 清水ビル2F","月～木 18:30～24:00
金・土・祝前日 18:30～翌2:00",050-3469-7603
